t_pc,t_mcu_ms,gx_raw,gy_raw,gz_raw
1771261867.1959958,753178,-0.301157,-2.98621,3.39702
1771261867.20975,753192,-0.0939205,-4.85913,4.55491
1771261867.223946,753206,-0.290161,-5.0036,4.99336
1771261867.2396271,753220,1.45004,-5.0036,4.57798
1771261867.253664,753236,2.142,-5.0036,4.15511
1771261867.2677171,753250,1.83229,-4.83821,3.58761
1771261867.281634,753263,1.33505,-4.48237,3.11572
1771261867.295567,753278,0.909883,-4.63005,2.90802
1771261867.3094459,753292,1.88834,-5.0036,2.82388
1771261867.323298,753305,2.215,-5.0036,3.04486
1771261867.3368971,753319,2.00761,-5.0036,1.7909
1771261867.350997,753334,1.86008,-5.00329,0.725708
1771261867.364955,753347,2.02334,-4.99245,-0.476627
1771261867.378845,753361,1.98073,-5.0036,-1.95324
1771261867.3927639,753375,2.09649,-4.98832,-2.71468
1771261867.406562,753389,2.17712,-4.72535,-4.31958
1771261867.420473,753403,2.38344,-4.72031,-4.8634
1771261867.4342349,753417,2.36298,-4.9054,-5.00207
1771261867.4481,753430,2.81135,-4.98924,-5.0036
1771261867.461942,753444,2.7466,-5.0036,-5.0036
1771261867.475832,753458,2.44774,-4.21589,-5.0036
1771261867.489781,753472,2.63008,-2.36649,-5.0036
1771261867.503736,753486,3.39641,-0.664316,-5.0036
1771261867.517636,753500,5.0036,2.00639,-5.0036
1771261867.5314848,753513,5.0036,2.16842,-5.0036
1771261867.545465,753528,5.0036,0.539394,-5.0036
1771261867.5594492,753542,5.0036,-0.638659,-5.0036
1771261867.5734231,753555,5.0036,-0.94058,-5.0036
1771261867.5871942,753569,5.0036,-2.2069,-5.0036
1771261867.601059,753584,5.0036,-1.55144,-5.0036
1771261867.615009,753597,5.0036,-0.520915,-5.0036
1771261867.628962,753611,5.0036,-0.957378,-5.00069
1771261867.642839,753625,5.0036,-1.92392,-4.17022
1771261867.656703,753639,4.36478,-3.91702,-2.15208
1771261867.6705751,753653,4.02911,-4.0398,-2.28479
1771261867.6844969,753667,3.348,-3.82478,-2.04365
1771261867.698436,753680,1.52319,-3.10884,-1.71852
1771261867.7142558,753694,1.33352,-2.59434,-2.05266
1771261867.7282019,753711,2.46851,-0.847728,-3.19162
1771261867.742228,753724,2.69483,0.207389,-3.23056
1771261867.756182,753738,3.1232,0.859335,-3.66137
